Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Deonte Harty,NOR,WR,25,2,0,0,0,0,0,0,0,0,0,0,2,2,13,6.50,0,0,0,0,0,0,1,3.3,3.3,2.3,0,139,0
Adam Trautman,NOR,TE,25,3,3,0,0,0,0,0,0,0,0,0,1,1,9,9.00,0,0,0,0,0,0,1,1.9,1.9,1.4,0,73,0
Nick Vannett,NOR,TE,29,1,0,0,0,0,0,0,0,0,0,0,1,1,5,5.00,0,0,0,0,0,0,1,1.5,1.5,1.0,0,79,0
Lil'Jordan Humphrey,NWE,WR,24,3,1,0,0,0,0,0,0,0,0,0,3,1,11,11.00,0,0,0,0,0,0,1,2.1,2.1,1.6,0,144,0
Gary Brightwell,NYG,RB,23,2,0,0,0,0,0,0,1,14,14.00,0,0,0,0,0,0,0,0,0,0,0,1,1.4,1.4,1.4,0,88,0
Wan'Dale Robinson,NYG,WR,21,1,0,0,0,0,0,0,0,0,0,0,1,1,5,5.00,0,0,0,0,0,0,1,1.5,1.5,1.0,0,148,0
C.J. Uzomah,NYJ,TE,29,2,2,0,0,0,0,0,0,0,0,0,1,1,5,5.00,0,0,0,0,0,0,1,1.5,1.5,1.0,0,80,0
Chigoziem Okonkwo,TEN,TE,23,3,0,0,0,0,0,0,1,-4,-4.00,0,1,1,11,11.00,0,0,0,0,0,0,1,1.7,1.7,1.2,0,78,0
Keelan Cole,LVR,WR,29,1,0,0,0,0,0,0,0,0,0,0,4,1,12,12.00,0,0,0,0,0,0,1,2.2,2.2,1.7,0,142,0
Tylan Wallace,BAL,WR,23,3,0,0,0,0,0,0,0,0,0,0,3,1,9,9.00,0,0,0,0,0,0,1,1.9,1.9,1.4,0,146,0
D'Wayne Eskridge,SEA,WR,25,3,0,0,0,0,0,0,0,0,0,0,3,2,6,3.00,0,0,0,0,0,0,1,2.6,2.6,1.6,0,147,0
Tyler Kroft,SFO,TE,30,2,2,0,0,0,0,0,0,0,0,0,2,1,9,9.00,0,0,0,0,0,0,1,1.9,1.9,1.4,0,74,0
