Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Tyreek Hill,MIA,WR,28,3,3,0,0,0,0,0,1,6,6.00,0,29,21,317,15.10,2,1,0,2,0,0,44,65.3,68.3,54.8,19,6,14
Jamaal Williams,DET,RB,27,3,0,0,0,0,0,0,43,168,3.91,4,5,4,29,7.25,0,0,0,4,0,0,44,47.7,50.7,45.7,18,4,15
Khalil Herbert,CHI,RB,24,3,0,0,0,0,0,0,33,240,7.27,3,4,4,13,3.25,0,0,0,3,0,0,43,47.3,50.3,45.3,18,5,16
D'Andre Swift,DET,RB,23,3,3,0,0,0,0,0,27,231,8.56,1,12,8,77,9.63,1,0,0,2,0,0,43,50.8,53.8,46.8,18,6,17
Patrick Mahomes,KAN,QB,27,3,3,74,109,857,8,1,9,30,3.33,0,0,0,0,0,0,1,0,0,0,1,69,69.3,73.3,70.3,17,4,18
Clyde Edwards-Helaire,KAN,RB,23,3,3,0,0,0,0,0,22,116,5.27,1,12,12,115,9.58,2,0,0,3,0,0,41,53.1,59.1,47.1,16,7,19
Aaron Jones,GNB,RB,28,3,3,0,0,0,0,0,32,217,6.78,1,12,9,76,8.44,1,1,1,2,0,0,39,48.3,52.3,43.8,14,8,20
Jonathan Taylor,IND,RB,23,3,3,0,0,0,0,0,61,286,4.69,1,13,8,43,5.38,0,0,0,1,0,0,39,46.9,49.9,42.9,14,9,21
Tua Tagovailoa,MIA,QB,24,3,3,72,101,925,8,2,4,1,0.25,0,0,0,0,0,0,1,0,0,0,0,65,65.1,70.1,67.1,13,5,22
Derrick Henry,TEN,RB,28,3,3,0,0,0,0,0,54,192,3.56,2,7,5,58,11.60,0,1,0,2,0,0,37,42.0,45.0,39.5,12,10,23
A.J. Brown,PHI,WR,25,3,3,0,0,0,0,0,0,0,0,0,31,20,309,15.45,1,0,0,1,0,0,37,56.9,59.9,46.9,12,7,24
Carson Wentz,WAS,QB,30,3,3,82,130,861,7,3,11,57,5.18,0,0,0,0,0,0,3,1,0,0,2,64,64.1,71.1,67.1,12,6,25
Justin Jefferson,MIN,WR,23,3,3,0,0,0,0,0,0,0,0,0,29,18,246,13.67,2,0,0,2,0,0,37,54.6,57.6,45.6,11,8,26
Davante Adams,LVR,WR,30,3,3,0,0,0,0,0,1,-4,-4.00,0,34,17,189,11.12,3,0,0,3,0,0,37,53.5,56.5,45.0,11,9,27
Saquon Barkley,NYG,RB,25,2,2,0,0,0,0,0,39,236,6.05,1,11,9,46,5.11,0,1,0,1,1,0,36,45.2,48.2,40.7,11,11,28
Christian McCaffrey,CAR,RB,26,3,3,0,0,0,0,0,50,243,4.86,1,14,10,57,5.70,0,0,0,1,0,0,36,46.0,49.0,41.0,11,12,29
Devin Duvernay,BAL,WR,25,3,3,0,0,0,0,0,2,-2,-1.00,0,8,8,121,15.13,3,0,0,4,0,0,36,43.9,46.9,39.9,11,10,30
Drake London,ATL,WR,21,3,2,0,0,0,0,0,0,0,0,0,25,16,214,13.38,2,0,0,2,1,0,35,51.4,54.4,43.4,10,11,31
Michael Thomas,NOR,WR,29,3,3,0,0,0,0,0,0,0,0,0,22,16,171,10.69,3,0,0,3,0,0,35,51.1,54.1,43.1,10,12,32
Amari Cooper,CLE,WR,28,3,3,0,0,0,0,0,0,0,0,0,27,19,219,11.53,2,0,0,2,0,0,34,52.9,55.9,43.4,9,13,33
Curtis Samuel,WAS,WR,26,3,2,0,0,0,0,0,8,51,6.38,0,30,22,181,8.23,2,1,1,2,0,0,33,55.2,59.2,44.2,8,15,34
Garrett Wilson,NYJ,WR,22,3,2,0,0,0,0,0,1,-2,-2.00,0,32,18,214,11.89,2,0,0,2,0,0,33,51.2,54.2,42.2,8,14,35
Antonio Gibson,WAS,RB,24,3,3,0,0,0,0,0,40,124,3.10,2,13,10,87,8.70,0,0,0,2,0,0,33,43.1,46.1,38.1,8,13,36
Rashod Bateman,BAL,WR,23,3,2,0,0,0,0,0,0,0,0,0,16,8,226,28.25,2,1,1,2,0,0,33,40.6,44.6,36.6,7,16,37
Kyler Murray,ARI,QB,25,3,3,90,141,784,3,1,12,65,5.42,1,0,0,0,0,0,1,0,1,1,2,60,59.9,63.9,60.9,7,7,38
Kareem Hunt,CLE,RB,27,3,0,0,0,0,0,0,36,151,4.19,1,10,9,54,6.00,1,0,0,2,0,0,33,41.5,44.5,37.0,7,14,39
Justin Herbert,LAC,QB,24,3,3,84,127,910,7,2,7,9,1.29,0,0,0,0,0,0,1,1,0,0,0,59,59.3,65.3,61.3,7,8,40
Dallas Goedert,PHI,TE,27,3,3,0,0,0,0,0,0,0,0,0,14,11,168,15.27,1,0,0,1,0,0,23,33.8,36.8,28.3,6,3,41
Ja'Marr Chase,CIN,WR,22,3,3,0,0,0,0,0,3,2,0.67,0,35,21,212,10.10,2,1,1,2,0,0,31,52.4,56.4,41.9,6,17,42
Marquise Brown,ARI,WR,25,3,3,0,0,0,0,0,0,0,0,0,34,24,251,10.46,1,0,0,1,0,0,31,55.1,58.1,43.1,6,18,43
Damien Harris,NWE,RB,25,3,3,0,0,0,0,0,35,160,4.57,2,8,6,31,5.17,0,0,0,2,0,0,31,37.1,40.1,34.1,6,15,44
DeVonta Smith,PHI,WR,24,3,3,0,0,0,0,0,0,0,0,0,23,15,249,16.60,1,0,0,1,0,0,31,45.9,48.9,38.4,6,19,45
Joe Burrow,CIN,QB,26,3,3,80,125,812,6,4,15,73,4.87,0,0,0,0,0,0,3,1,0,0,2,58,57.8,65.8,61.8,5,9,46
Zach Ertz,ARI,TE,32,3,3,0,0,0,0,0,0,0,0,0,25,16,134,8.38,1,0,0,1,1,0,21,37.4,40.4,29.4,5,4,47
Terry McLaurin,WAS,WR,27,3,3,0,0,0,0,0,1,7,7.00,0,21,12,235,19.58,1,0,0,1,0,0,30,42.2,45.2,36.2,5,20,48
Mack Hollins,LVR,WR,29,3,2,1,1,4,0,0,0,0,0,0,19,14,240,17.14,1,0,0,1,0,0,30,44.2,47.2,37.2,5,21,49
Darren Waller,LVR,TE,30,3,3,0,0,0,0,0,0,0,0,0,19,13,151,11.62,1,0,0,1,0,0,21,34.1,37.1,27.6,5,5,50
Jahan Dotson,WAS,WR,22,3,3,0,0,0,0,0,1,-10,-10.00,0,18,9,109,12.11,3,0,0,3,1,0,30,38.9,41.9,34.4,5,22,51
Gerald Everett,LAC,TE,28,3,3,0,0,0,0,0,0,0,0,0,20,11,150,13.64,1,0,0,1,0,0,21,32.0,35.0,26.5,5,6,52
Trevor Lawrence,JAX,QB,23,3,3,77,111,772,6,1,8,22,2.75,0,0,0,0,0,0,0,0,0,0,1,57,57.1,61.1,58.1,4,10,53
Courtland Sutton,DEN,WR,27,3,3,0,0,0,0,0,1,5,5.00,0,28,19,291,15.32,0,0,0,0,0,0,30,48.6,51.6,39.1,4,23,54
Miles Sanders,PHI,RB,25,3,3,0,0,0,0,0,45,222,4.93,1,6,6,13,2.17,0,0,0,1,0,0,30,35.5,38.5,32.5,4,16,55
Tyler Boyd,CIN,WR,28,3,1,0,0,0,0,0,0,0,0,0,14,10,155,15.50,2,0,0,2,1,0,30,39.5,42.5,34.5,4,24,56
Tyler Conklin,NYJ,TE,27,3,3,0,0,0,0,0,0,0,0,0,24,18,140,7.78,1,2,0,1,0,0,20,38.0,41.0,29.0,4,7,57
Pat Freiermuth,PIT,TE,24,3,3,0,0,0,0,0,0,0,0,0,21,11,138,12.55,1,0,0,1,0,0,20,30.8,33.8,25.3,3,8,58
Will Dissly,SEA,TE,26,3,3,0,0,0,0,0,0,0,0,0,8,8,77,9.63,2,0,0,2,0,0,20,27.7,27.7,23.7,3,9,59
Deebo Samuel,SFO,WR,26,3,3,0,0,0,0,0,17,111,6.53,1,21,12,131,10.92,0,2,1,1,0,0,28,40.2,47.2,34.2,3,25,60
Jared Goff,DET,QB,28,3,3,66,112,748,7,2,6,15,2.50,0,0,0,0,0,0,1,0,0,0,0,55,55.4,60.4,57.4,3,11,61
Leonard Fournette,TAM,RB,27,3,3,0,0,0,0,0,57,227,3.98,0,12,9,54,6.00,0,0,0,0,0,0,28,37.1,40.1,32.6,3,17,62
Dalvin Cook,MIN,RB,27,3,3,0,0,0,0,0,43,203,4.72,1,11,7,37,5.29,0,1,1,1,0,0,28,35.0,39.0,31.5,3,18,63
Dameon Pierce,HOU,RB,22,3,3,0,0,0,0,0,46,182,3.96,1,4,4,35,8.75,0,2,0,1,0,0,28,31.7,34.7,29.7,2,19,64
Najee Harris,PIT,RB,24,3,3,0,0,0,0,0,40,128,3.20,1,11,10,48,4.80,1,1,1,2,0,0,28,37.6,41.6,32.6,2,20,65
David Njoku,CLE,TE,26,3,3,0,0,0,0,0,0,0,0,0,16,13,128,9.85,1,0,0,1,0,0,19,31.8,34.8,25.3,2,10,66
Chris Olave,NOR,WR,22,3,1,0,0,0,0,0,0,0,0,0,29,17,268,15.76,0,1,1,0,1,0,27,43.8,47.8,35.3,2,26,67
Joe Mixon,CIN,RB,26,3,3,0,0,0,0,0,58,163,2.81,0,20,13,103,7.92,0,0,0,0,0,0,27,39.6,45.6,33.1,1,21,68
Tyler Higbee,LAR,TE,29,3,3,0,0,0,0,0,0,0,0,0,24,16,171,10.69,0,0,0,0,0,0,17,33.1,36.1,25.1,1,11,69
Greg Dortch,ARI,WR,24,3,2,0,0,0,0,0,0,0,0,0,23,20,198,9.90,1,0,0,1,0,0,26,45.8,48.8,35.8,1,28,70
Mike Williams,LAC,WR,28,3,3,0,0,0,0,0,0,0,0,0,20,11,138,12.55,2,0,0,2,0,0,26,36.8,39.8,31.3,1,29,71
Isaiah McKenzie,BUF,WR,27,3,3,0,0,0,0,0,1,6,6.00,0,15,11,132,12.00,2,0,0,2,0,0,26,36.8,39.8,31.3,1,27,72
AJ Dillon,GNB,RB,24,3,0,0,0,0,0,0,40,138,3.45,1,12,8,58,7.25,0,0,0,1,0,0,26,33.6,36.6,29.6,0,22,73
O.J. Howard,HOU,TE,28,3,2,0,0,0,0,0,0,0,0,0,4,3,45,15.00,2,0,0,2,0,0,17,19.5,19.5,18.0,0,12,74
Derek Carr,LVR,QB,31,3,3,73,120,850,6,4,3,26,8.67,0,0,0,0,0,0,2,0,0,0,0,53,52.6,59.6,56.6,0,12,75
Tory Carter,TEN,0,23,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76
Michael Pittman Jr.,IND,WR,25,2,2,0,0,0,0,0,0,0,0,0,22,17,193,11.35,1,0,0,1,0,0,25,42.3,45.3,33.8,0,30,77
Breece Hall,NYJ,RB,21,3,0,0,0,0,0,0,21,112,5.33,0,21,13,101,7.77,1,1,1,1,0,0,25,38.3,45.3,31.8,0,24,78
Marcus Mariota,ATL,QB,29,3,3,50,79,640,3,3,25,92,3.68,2,0,0,0,0,0,5,3,2,0,1,49,48.8,57.8,51.8,0,13,0
Kirk Cousins,MIN,QB,34,3,3,74,119,758,5,3,3,19,6.33,0,0,0,0,0,0,1,0,0,0,0,46,46.2,52.2,49.2,0,14,0
Joe Flacco,NYJ,QB,37,3,3,91,155,901,5,3,3,6,2.00,0,0,0,0,0,0,4,3,0,0,0,45,44.6,53.6,47.6,0,15,0
Jacoby Brissett,CLE,QB,30,3,3,61,92,596,4,1,13,64,4.92,0,0,0,0,0,0,0,0,0,0,0,44,44.2,48.2,45.2,0,16,0
Jameis Winston,NOR,QB,28,3,3,73,115,858,4,5,5,16,3.20,0,0,0,0,0,0,3,0,0,0,1,44,43.9,51.9,48.9,0,17,0
Baker Mayfield,CAR,QB,27,3,3,42,81,550,3,1,12,40,3.33,1,0,0,0,0,0,5,0,1,0,0,42,42.0,46.0,43.0,0,19,0
Geno Smith,SEA,QB,32,3,3,79,102,717,4,2,10,15,1.50,0,0,0,0,0,0,1,0,0,0,0,42,42.2,47.2,44.2,0,18,0
Ryan Tannehill,TEN,QB,34,3,3,50,80,647,3,3,7,11,1.57,1,0,0,0,0,0,1,0,1,0,0,39,39.0,45.0,42.0,0,21,0
Mitchell Trubisky,PIT,QB,28,3,3,62,103,569,2,1,6,23,3.83,1,0,0,0,0,0,0,0,1,0,1,39,39.1,43.1,40.1,0,20,0
Russell Wilson,DEN,QB,34,3,3,63,106,743,2,1,9,22,2.44,0,0,0,0,0,0,0,0,0,0,0,38,37.9,41.9,38.9,0,22,0
Mac Jones,NWE,QB,24,3,3,64,97,786,2,5,14,37,2.64,1,0,0,0,0,0,1,1,1,0,0,37,37.1,46.1,42.1,0,23,0
Matthew Stafford,LAR,QB,34,3,3,74,102,761,4,5,4,4,1.00,0,0,0,0,0,0,1,0,0,0,0,37,36.8,44.8,41.8,0,24,0
Aaron Rodgers,GNB,QB,39,3,3,68,94,684,4,2,7,8,1.14,0,0,0,0,0,0,2,2,0,0,0,36,36.2,43.2,38.2,0,25,0
Tom Brady,TAM,QB,45,3,3,67,103,673,3,1,6,-4,-0.67,0,0,0,0,0,0,1,1,0,0,0,35,34.5,39.5,35.5,0,26,0
Matt Ryan,IND,QB,37,3,3,75,117,769,3,4,7,16,2.29,0,0,0,0,0,0,7,2,0,0,0,32,32.4,41.4,36.4,0,28,0
Davis Mills,HOU,QB,24,3,3,62,107,662,3,2,4,0,0.00,0,0,0,0,0,0,3,1,0,0,0,32,32.5,38.5,34.5,0,27,0
Daniel Jones,NYG,QB,25,2,2,39,55,364,3,1,16,46,2.88,0,0,0,0,0,0,1,1,0,0,1,29,29.2,34.2,30.2,0,29,0
Justin Fields,CHI,QB,23,3,3,23,45,297,2,4,27,95,3.52,1,0,0,0,0,0,3,0,1,0,0,27,27.4,31.4,31.4,0,30,0
Tee Higgins,CIN,WR,23,3,3,0,0,0,0,0,0,0,0,0,19,13,191,14.69,1,0,0,1,0,0,25,38.1,41.1,31.6,0,31,0
Chase Edmonds,MIA,RB,26,3,2,0,0,0,0,0,23,79,3.43,2,8,6,54,9.00,0,0,0,2,0,0,25,31.3,31.3,28.3,0,23,0
Corey Davis,NYJ,WR,27,3,1,0,0,0,0,0,0,0,0,0,19,10,187,18.70,1,0,0,1,0,0,25,34.7,37.7,29.7,0,32,0
Josh Jacobs,LVR,RB,24,3,3,0,0,0,0,0,42,192,4.57,0,8,7,59,8.43,0,1,0,0,0,0,25,32.1,35.1,28.6,0,25,0
Jimmy Garoppolo,SFO,QB,31,2,1,31,50,365,2,1,5,5,1.00,1,0,0,0,0,0,1,1,1,0,0,25,25.1,30.1,26.1,0,31,0
Rhamondre Stevenson,NWE,RB,24,3,0,0,0,0,0,0,29,145,5.00,1,9,7,34,4.86,0,0,0,1,0,0,24,30.9,33.9,27.4,0,26,0
Devin Singletary,BUF,RB,25,3,3,0,0,0,0,0,23,80,3.48,0,16,13,94,7.23,1,0,0,1,0,0,23,36.4,36.4,29.9,0,27,0
Javonte Williams,DEN,RB,22,3,3,0,0,0,0,0,37,176,4.76,0,21,15,77,5.13,0,1,1,0,0,0,23,38.3,42.3,30.8,0,28,0
Zay Jones,JAX,WR,27,3,2,0,0,0,0,0,1,0,0.00,0,24,19,173,9.11,1,0,0,1,0,0,23,42.3,45.3,32.8,0,33,0
Dontrell Hilliard,TEN,RB,27,2,0,0,0,0,0,0,4,22,5.50,0,5,4,91,22.75,2,0,0,2,0,0,23,27.3,27.3,25.3,0,29,0
James Conner,ARI,RB,27,3,3,0,0,0,0,0,30,90,3.00,1,15,10,73,7.30,0,1,0,1,0,0,22,32.3,32.3,27.3,0,30,0
Noah Brown,DAL,WR,26,2,2,0,0,0,0,0,0,0,0,0,14,10,159,15.90,1,0,0,1,0,0,22,31.9,34.9,26.9,0,35,0
Melvin Gordon,DEN,RB,29,3,0,0,0,0,0,0,34,131,3.85,1,9,8,49,6.13,0,3,1,1,0,0,22,30.0,34.0,26.0,0,31,0
Josh Reynolds,DET,WR,27,3,3,0,0,0,0,0,0,0,0,0,16,10,162,16.20,1,0,0,1,0,0,22,32.2,35.2,27.2,0,34,0
Diontae Johnson,PIT,WR,26,3,3,0,0,0,0,0,0,0,0,0,33,21,196,9.33,0,1,0,0,1,0,22,42.6,45.6,32.1,0,36,0
Austin Ekeler,LAC,RB,27,3,3,0,0,0,0,0,32,80,2.50,0,22,21,139,6.62,0,0,0,0,0,0,22,42.9,45.9,32.4,0,32,0
Jeff Wilson,SFO,RB,27,3,2,0,0,0,0,0,39,181,4.64,0,7,7,58,8.29,0,1,1,0,0,0,22,28.9,32.9,25.4,0,33,0
Romeo Doubs,GNB,WR,22,3,1,0,0,0,0,0,1,11,11.00,0,16,14,137,9.79,1,1,0,1,0,0,21,34.8,37.8,27.8,0,40,0
Adam Thielen,MIN,WR,32,3,3,0,0,0,0,0,0,0,0,0,19,13,149,11.46,1,0,0,1,0,0,21,33.9,36.9,27.4,0,38,0
DeAndre Carter,LAC,WR,29,3,2,0,0,0,0,0,1,-5,-5.00,0,11,9,150,16.67,1,0,0,1,0,0,21,29.5,32.5,25.0,0,41,0
Tyler Lockett,SEA,WR,30,3,3,0,0,0,0,0,0,0,0,0,26,21,211,10.05,0,0,0,0,0,0,21,42.1,45.1,31.6,0,37,0
Brandon Aiyuk,SFO,WR,24,3,3,0,0,0,0,0,1,7,7.00,0,19,10,142,14.20,1,0,0,1,0,0,21,30.9,33.9,25.9,0,39,0
David Montgomery,CHI,RB,25,3,3,0,0,0,0,0,35,159,4.54,0,6,5,38,7.60,0,0,0,0,0,0,20,24.7,27.7,22.2,0,34,0
Nelson Agholor,NWE,WR,29,3,1,0,0,0,0,0,0,0,0,0,14,11,179,16.27,1,2,2,1,0,0,20,30.9,35.9,25.4,0,42,0
Michael Carter,NYJ,RB,23,3,3,0,0,0,0,0,28,122,4.36,0,16,13,74,5.69,0,0,0,0,0,0,20,32.6,35.6,26.1,0,36,0
Darrell Henderson,LAR,RB,25,3,3,0,0,0,0,0,27,111,4.11,1,6,5,26,5.20,0,0,0,1,0,0,20,24.7,27.7,22.2,0,35,0
Josh Palmer,LAC,WR,24,3,3,0,0,0,0,0,1,4,4.00,0,21,13,134,10.31,1,0,0,1,0,0,20,32.8,35.8,26.3,0,43,0
Gabriel Davis,BUF,WR,23,2,2,0,0,0,0,0,0,0,0,0,11,7,125,17.86,1,0,0,1,0,0,19,25.5,28.5,22.0,0,47,0
Robbie Anderson,CAR,WR,29,3,3,0,0,0,0,0,0,0,0,0,17,9,148,16.44,1,1,1,1,0,0,19,27.8,31.8,23.3,0,46,0
Jerry Jeudy,DEN,WR,23,3,3,0,0,0,0,0,1,1,1.00,0,16,7,130,18.57,1,0,0,1,0,0,19,26.1,29.1,22.6,0,45,0
Travis Etienne,JAX,RB,23,3,0,0,0,0,0,0,26,112,4.31,0,10,8,81,10.13,0,1,0,0,0,0,19,27.3,30.3,23.3,0,37,0
Mike Evans,TAM,WR,29,2,2,0,0,0,0,0,0,0,0,0,11,8,132,16.50,1,0,0,1,0,0,19,27.2,30.2,23.2,0,44,0
Equanimeous St. Brown,CHI,WR,26,3,3,0,0,0,0,0,2,43,21.50,0,9,4,77,19.25,1,0,0,1,0,0,18,22.0,22.0,20.0,0,48,0
Tony Pollard,DAL,RB,25,2,1,0,0,0,0,0,15,51,3.40,1,9,6,69,11.50,0,0,0,1,0,0,18,24.0,24.0,21.0,0,38,0
Allen Lazard,GNB,WR,27,2,2,0,0,0,0,0,0,0,0,0,9,6,58,9.67,2,0,0,2,0,0,18,23.8,23.8,20.8,0,49,0
D.K. Metcalf,SEA,WR,25,3,3,0,0,0,0,0,0,0,0,0,25,16,135,8.44,1,1,1,1,0,0,18,33.5,37.5,25.5,0,50,0
D.J. Moore,CAR,WR,25,3,3,0,0,0,0,0,3,20,6.67,0,18,7,88,12.57,1,0,0,1,0,0,17,23.8,23.8,20.3,0,52,0
Samaje Perine,CIN,RB,27,3,0,0,0,0,0,0,11,53,4.82,0,8,6,55,9.17,1,0,0,1,0,0,17,22.8,22.8,19.8,0,39,0
K.J. Osborn,MIN,WR,25,3,2,0,0,0,0,0,0,0,0,0,14,10,112,11.20,1,0,0,1,0,0,17,27.2,30.2,22.2,0,51,0
DeVante Parker,NWE,WR,29,3,3,0,0,0,0,0,0,0,0,0,14,6,165,27.50,0,0,0,0,0,0,17,22.5,25.5,19.5,0,54,0
Sterling Shepard,NYG,WR,29,2,1,0,0,0,0,0,0,0,0,0,14,8,105,13.13,1,0,0,1,0,0,17,24.5,27.5,20.5,0,55,0
Russell Gage,TAM,WR,26,3,1,0,0,0,0,0,0,0,0,0,21,19,128,6.74,1,1,1,1,0,0,17,35.8,39.8,26.3,0,53,0
Olamide Zaccheaus,ATL,WR,25,3,2,0,0,0,0,0,0,0,0,0,8,8,119,14.88,1,1,1,1,0,0,16,23.9,27.9,19.9,0,58,0
Cooper Rush,DAL,QB,29,2,1,26,44,299,1,0,1,2,2.00,0,0,0,0,0,0,0,0,0,0,0,16,16.2,16.2,16.2,0,32,0
DJ Chark,DET,WR,26,3,3,0,0,0,0,0,0,0,0,0,18,7,98,14.00,1,0,0,1,0,0,16,22.8,22.8,19.3,0,59,0
Brandin Cooks,HOU,WR,29,3,3,0,0,0,0,0,0,0,0,0,29,13,158,12.15,0,0,0,0,0,0,16,28.8,31.8,22.3,0,60,0
Marvin Jones,JAX,WR,32,3,3,0,0,0,0,0,0,0,0,0,18,11,104,9.45,1,0,0,1,0,0,16,27.4,30.4,21.9,0,56,0
JuJu Smith-Schuster,KAN,WR,26,3,3,0,0,0,0,0,0,0,0,0,19,14,178,12.71,0,2,1,0,0,0,16,29.8,33.8,22.8,0,61,0
Taysom Hill,NOR,TE,32,2,1,0,0,0,0,0,7,95,13.57,1,1,1,2,2.00,0,0,0,1,0,0,16,16.7,16.7,16.2,0,13,0
Jarvis Landry,NOR,WR,30,3,1,0,0,0,0,0,0,0,0,0,19,13,161,12.38,0,0,0,0,0,0,16,29.1,32.1,22.6,0,57,0
Jakobi Meyers,NWE,WR,26,2,2,0,0,0,0,0,1,7,7.00,0,19,13,150,11.54,0,0,0,0,0,0,16,28.7,31.7,22.2,0,62,0
Cam Akers,LAR,RB,23,3,0,0,0,0,0,0,30,105,3.50,1,3,2,18,9.00,0,1,1,1,0,0,16,18.3,22.3,17.3,0,40,0
Laviska Shenault Jr.,CAR,WR,24,1,0,0,0,0,0,0,0,0,0,0,2,2,90,45.00,1,0,0,1,0,0,15,17.0,17.0,16.0,0,63,0
Jerick McKinnon,KAN,RB,30,3,0,0,0,0,0,0,15,54,3.60,0,7,5,31,6.20,1,0,0,1,0,0,15,19.5,19.5,17.0,0,44,0
Alexander Mattison,MIN,RB,24,3,0,0,0,0,0,0,17,72,4.24,1,6,4,22,5.50,0,0,0,1,0,0,15,19.4,19.4,17.4,0,41,0
Allen Robinson,LAR,WR,29,3,3,0,0,0,0,0,0,0,0,0,12,7,88,12.57,1,0,0,1,0,0,15,21.8,21.8,18.3,0,64,0
Colby Parkinson,SEA,TE,23,3,0,0,0,0,0,0,0,0,0,0,4,4,87,21.75,1,0,0,1,0,0,15,18.7,18.7,16.7,0,14,0
Rashaad Penny,SEA,RB,26,3,3,0,0,0,0,0,32,141,4.41,0,4,3,10,3.33,0,1,0,0,0,0,15,18.1,21.1,16.6,0,42,0
J.D. McKissic,WAS,RB,29,3,0,0,0,0,0,0,9,25,2.78,0,19,16,106,6.63,0,0,0,0,1,0,15,31.1,34.1,23.1,0,43,0
Logan Thomas,WAS,TE,31,3,3,0,0,0,0,0,0,0,0,0,14,8,87,10.88,1,0,0,1,0,0,15,22.7,22.7,18.7,0,15,0
Ashton Dulin,IND,WR,25,3,1,0,0,0,0,0,1,3,3.00,0,14,9,132,14.67,0,0,0,0,0,0,14,22.5,25.5,18.0,0,66,0
Eno Benjamin,ARI,RB,23,3,0,0,0,0,0,0,17,75,4.41,0,12,8,60,7.50,0,0,0,0,0,0,14,21.5,21.5,17.5,0,46,0
T.J. Hockenson,DET,TE,25,3,3,0,0,0,0,0,0,0,0,0,18,10,82,8.20,1,0,0,1,0,0,14,24.2,24.2,19.2,0,16,0
Isiah Pacheco,KAN,RB,22,3,0,0,0,0,0,0,17,77,4.53,1,0,0,0,0,0,2,0,1,0,0,14,13.7,13.7,13.7,0,45,0
Robert Woods,TEN,WR,30,3,3,0,0,0,0,0,0,0,0,0,16,9,137,15.22,0,0,0,0,0,0,14,22.7,25.7,18.2,0,65,0
Kyle Pitts,ATL,TE,22,3,3,0,0,0,0,0,0,0,0,0,18,9,125,13.89,0,0,0,0,0,0,13,21.5,24.5,17.0,0,19,0
Jelani Woods,IND,TE,24,3,0,0,0,0,0,0,0,0,0,0,3,2,13,6.50,2,0,0,2,0,0,13,15.3,15.3,14.3,0,17,0
Darrel Williams,ARI,RB,27,3,0,0,0,0,0,0,9,66,7.33,1,4,2,3,1.50,0,0,0,1,0,0,13,14.9,14.9,13.9,0,47,0
Nico Collins,HOU,WR,23,3,1,0,0,0,0,0,0,0,0,0,16,8,125,15.63,0,0,0,0,0,0,13,20.5,23.5,16.5,0,71,0
River Cracraft,MIA,WR,28,3,0,0,0,0,0,0,0,0,0,0,3,2,13,6.50,2,0,0,2,0,0,13,15.3,15.3,14.3,0,67,0
Irv Smith Jr.,MIN,TE,24,3,0,0,0,0,0,0,0,0,0,0,16,7,68,9.71,1,0,0,1,0,0,13,19.8,19.8,16.3,0,18,0
Elijah Moore,NYJ,WR,22,3,3,0,0,0,0,0,1,-6,-6.00,0,22,12,139,11.58,0,0,0,0,0,0,13,25.3,28.3,19.3,0,68,0
Quez Watkins,PHI,WR,24,3,2,0,0,0,0,0,0,0,0,0,3,2,69,34.50,1,0,0,1,0,0,13,14.9,14.9,13.9,0,69,0
Chase Claypool,PIT,WR,24,3,3,0,0,0,0,0,7,47,6.71,0,18,11,79,7.18,0,0,0,0,0,0,13,23.6,23.6,18.1,0,70,0
Zander Horvath,LAC,RB,24,3,0,0,0,0,0,0,1,2,2.00,0,5,3,7,2.33,2,0,0,2,0,0,13,15.9,15.9,14.4,0,48,0
Nyheim Hines,IND,RB,26,3,2,0,0,0,0,0,7,11,1.57,0,17,15,110,7.33,0,1,0,0,0,0,12,27.1,30.1,19.6,0,51,0
Mecole Hardman,KAN,WR,24,3,3,0,0,0,0,0,1,-4,-4.00,0,11,7,67,9.57,1,0,0,1,0,0,12,19.3,19.3,15.8,0,72,0
Raheem Mostert,MIA,RB,30,3,1,0,0,0,0,0,24,78,3.25,0,6,4,44,11.00,0,0,0,0,0,0,12,16.2,16.2,14.2,0,49,0
Mark Ingram,NOR,RB,33,3,1,0,0,0,0,0,19,98,5.16,1,3,3,4,1.33,0,2,2,1,0,0,12,15.2,17.2,13.7,0,50,0
Kendrick Bourne,NWE,WR,27,3,1,0,0,0,0,0,0,0,0,0,9,7,115,16.43,0,1,0,0,0,0,12,18.5,21.5,15.0,0,75,0
Treylon Burks,TEN,WR,22,3,1,0,0,0,0,0,1,8,8.00,0,13,8,115,14.38,0,0,0,0,0,0,12,20.3,23.3,16.3,0,73,0
Kenneth Gainwell,PHI,RB,23,3,0,0,0,0,0,0,10,33,3.30,1,6,3,23,7.67,0,0,0,1,0,0,12,14.6,14.6,13.1,0,52,0
Trey Lance,SFO,QB,22,2,2,15,31,194,0,1,16,67,4.19,0,0,0,0,0,0,1,0,0,0,0,12,12.5,13.5,13.5,0,33,0
Breshad Perriman,TAM,WR,29,3,2,0,0,0,0,0,2,-7,-3.50,0,12,6,89,14.83,1,2,1,1,0,0,12,18.2,19.2,15.2,0,74,0
